city,iataCode, Airport name, Location, Country,isInternational
BYH Arkansas International Airport,BYH,Arkansas International Airport,"Blytheville, Arkansas",United States,YES
MSP Minneapolis–Saint Paul International Airport (Wold-Chamberlain Field),MSP,Minneapolis–Saint Paul International Airport (Wold-Chamberlain Field),"Bloomington, Minnesota",United States,YES
IKA Tehran Imam Khomeini International Airport,IKA,Tehran Imam Khomeini International Airport,Tehran,Iran,YES
MSQ Minsk International Airport (Minsk-2),MSQ,Minsk International Airport (Minsk-2),Minsk,Belarus,YES
OTP Henri Coand? International Airport,OTP,Henri Coand? International Airport,Otopeni,Romania,YES
RKT Ras Al Khaimah International Airport,RKT,Ras Al Khaimah International Airport,Ras Al Khaimah,United Arab Emirates,YES
SJO Juan Santamaría International Airport,SJO,Juan Santamaría International Airport,San José,Costa Rica,YES
VSA Carlos Rovirosa Pérez International Airport,VSA,Carlos Rovirosa Pérez International Airport,"Villahermosa, Tabasco",Mexico,YES
DPS Ngurah Rai International Airport,DPS,Ngurah Rai International Airport,"Denpasar, Bali",Indonesia,YES
JHB Sultan Ismail International Airport,JHB,Sultan Ismail International Airport,Johor Bahru,Malaysia,YES
PRN Pristina International Airport Adem Jashari,PRN,Pristina International Airport Adem Jashari,Pristina,Kosovo,YES
YAP Yap International Airport,YAP,Yap International Airport,Yap,Federated States of Micronesia,YES
ZLO Playa de Oro International Airport,ZLO,Playa de Oro International Airport,"Manzanillo, Colima",Mexico,YES
HKT Phuket International Airport,HKT,Phuket International Airport,Phuket,Thailand,YES
LGK Langkawi International Airport,LGK,Langkawi International Airport,"Langkawi, Kedah",Malaysia,YES
LUN Lusaka International Airport,LUN,Lusaka International Airport,Lusaka,Zambia,YES
MSS Massena International Airport (Richards Field),MSS,Massena International Airport (Richards Field),"Massena, New York",United States,YES
NLD Quetzalcóatl International Airport,NLD,Quetzalcóatl International Airport,Nuevo Laredo,Mexico,YES
SZX Shenzhen Bao'an International Airport,SZX,Shenzhen Bao'an International Airport,"Shenzhen, Guangdong",China,YES
TUS Tucson International Airport,TUS,Tucson International Airport,"Tucson, Arizona",United States,YES
CKG Chongqing Jiangbei International Airport,CKG,Chongqing Jiangbei International Airport,Chongqing,China,YES
SJU Luis Muñoz Marín International Airport,SJU,Luis Muñoz Marín International Airport,San Juan,Puerto Rico,YES
CWB Afonso Pena International Airport,CWB,Afonso Pena International Airport,"Curitiba, Paraná",Brazil,YES
MSU Moshoeshoe International Airport,MSU,Moshoeshoe International Airport,Maseru,Lesotho,YES
SJW Shijiazhuang Zhengding International Airport,SJW,Shijiazhuang Zhengding International Airport,Shijiazhuang,China,YES
ACY Atlantic City International Airport,ACY,Atlantic City International Airport,"Atlantic City, New Jersey",United States,YES
MSV Sullivan County International Airport,MSV,Sullivan County International Airport,"Monticello, New York",United States,YES
TAB Crown Point International Airport,TAB,Crown Point International Airport,"Scarborough, Tobago",Trinidad and Tobago,YES
VTE Wattay International Airport,VTE,Wattay International Airport,Vientiane,Laos,YES
BCM Bac?u International Airport,BCM,Bac?u International Airport,Bac?u,Romania,YES
CWF Chennault International Airport,CWF,Chennault International Airport,"Lake Charles, Louisiana",United States,YES
GPT Gulfport-Biloxi International Airport,GPT,Gulfport-Biloxi International Airport,"Gulfport, Mississippi",United States,YES
MSW Massawa International Airport,MSW,Massawa International Airport,Massawa,Eritrea,YES
ERI Erie International Airport (Tom Ridge Field),ERI,Erie International Airport (Tom Ridge Field),"Erie, Pennsylvania",United States,YES
ADB Adnan Menderes International Airport,ADB,Adnan Menderes International Airport,?zmir,Turkey,YES
ERL Erenhot Saiwusu International Airport,ERL,Erenhot Saiwusu International Airport,"Erenhot, Inner Mongolia",China,YES
MSY Louis Armstrong New Orleans International Airport (formerly Moisant Field),MSY,Louis Armstrong New Orleans International Airport (formerly Moisant Field),"New Orleans,Louisiana",United States,YES
SKB Robert L.Bradshaw International Airport,SKB,Robert L.Bradshaw International Airport,Basseterre,Saint Kitts and Nevis,YES
TAE Daegu International Airport,TAE,Daegu International Airport,Daegu,South Korea,YES
IKT Irkutsk International Airport,IKT,Irkutsk International Airport,Irkutsk,Russia,YES
ADD Bole International Airport,ADD,Bole International Airport,Addis Ababa,Ethiopia,YES
BNA Nashville International Airport,BNA,Nashville International Airport,"Nashville, Tennessee",United States,YES
GRB Austin Straubel International Airport,GRB,Austin Straubel International Airport,"Green Bay, Wisconsin",United States,YES
ADE Aden International Airport,ADE,Aden International Airport,Aden,Yemen,YES
FTE Comandante Armando Tola International Airport,FTE,Comandante Armando Tola International Airport,"El Calafate, Santa Cruz Province",Argentina,YES
RMI Federico Fellini International Airport,RMI,Federico Fellini International Airport,Rimini,Italy,YES
TAI Ta'izz International Airport,TAI,Ta'izz International Airport,Ta'izz,Yemen,YES
VVI Viru Viru International Airport,VVI,Viru Viru International Airport,Santa Cruz,Bolivia,YES
TWD Jefferson County International Airport,TWD,Jefferson County International Airport,"Port Townsend, Washington",United States,YES
VVO Vladivostok International Airport (Knevichi Airport),VVO,Vladivostok International Airport (Knevichi Airport),Vladivostok,Russia,YES
BND Bandar Abbas International Airport,BND,Bandar Abbas International Airport,Bandar Abbas,Iran,YES
NNG Nanning Wuxu International Airport,NNG,Nanning Wuxu International Airport,"Nanning, Guangxi",China,YES
APW Faleolo International Airport,APW,Faleolo International Airport,"Apia, Upolu Island",Samoa,YES
FTW Fort Worth Meacham International Airport,FTW,Fort Worth Meacham International Airport,"Fort Worth, Texas",United States,YES
MIA Miami International Airport,MIA,Miami International Airport,"Miami, Florida",United States,YES
TAM General Francisco Javier Mina International Airport,TAM,General Francisco Javier Mina International Airport,"Tampico, Tamaulipas",Mexico,YES
ADJ Marka International Airport,ADJ,Marka International Airport,Amman,Jordan,YES
JIO Ontario International Heliport,JIO,Ontario International Heliport,"Ontario, California",United States,YES
KGL Kigali International Airport (Kanombe Airport),KGL,Kigali International Airport (Kanombe Airport),Kigali,Rwanda,YES
HLP Halim Perdanakusuma International Airport,HLP,Halim Perdanakusuma International Airport,Jakarta,Indonesia,YES
SKT Sialkot International Airport,SKT,Sialkot International Airport,Sialkot,Pakistan,YES
TAO Qingdao Liuting International Airport,TAO,Qingdao Liuting International Airport,"Qingdao, Shandong",China,YES
BZE Philip S. W. Goldson International Airport,BZE,Philip S. W. Goldson International Airport,Ladyville,Belize,YES
LHE Allama Iqbal International Airport,LHE,Allama Iqbal International Airport,Lahore,Pakistan,YES
MID Manuel Crescencio Rejón International Airport,MID,Manuel Crescencio Rejón International Airport,"Mérida, Yucatán",Mexico,YES
PSM Pease International Tradeport,PSM,Pease International Tradeport,"Portsmouth, New Hampshire",United States,YES
TAP Tapachula International Airport,TAP,Tapachula International Airport,"Tapachula, Chiapas",Mexico,YES
CLE Cleveland Hopkins International Airport,CLE,Cleveland Hopkins International Airport,"Cleveland, Ohio",United States,YES
CXI Cassidy International Airport,CXI,Cassidy International Airport,Christmas Island,Kiribati,YES
ESB Esenbo?a International Airport,ESB,Esenbo?a International Airport,Ankara,Turkey,YES
SKV St.Catherine International Airport,SKV,St.Catherine International Airport,St.Catherine,Egypt,YES
BDA Bermuda International Airport (L.F. Wade Int'l Airport),BDA,Bermuda International Airport (L.F. Wade Int'l Airport),Ferry Reach (near Hamilton),Bermuda,YES
DRT Del Rio International Airport,DRT,Del Rio International Airport,"Del Rio, Texas",United States,YES
TAS Tashkent International Airport,TAS,Tashkent International Airport,Tashkent,Uzbekistan,YES
YQB Québec/Jean Lesage International Airport,YQB,Québec/Jean Lesage International Airport,"Sainte-Foy, Quebec City, Quebec",Canada,YES
CXL Calexico International Airport,CXL,Calexico International Airport,"Calexico, California",United States,YES
ILM Wilmington International Airport,ILM,Wilmington International Airport,"Wilmington, North Carolina",United States,YES
NOC Knock International Airport,NOC,Knock International Airport,Knock,Ireland,YES
PSP Palm Springs International Airport,PSP,Palm Springs International Airport,"Palm Springs, California",United States,YES
AQJ King Hussein International Airport,AQJ,King Hussein International Airport,Aqaba,Jordan,YES
DRW Darwin International Airport,DRW,Darwin International Airport,"Darwin, Northern Territory",Australia,YES
KGS Kos Island International Airport,KGS,Kos Island International Airport,Kos Island,Greece,YES
ILO Iloilo International Airport,ILO,Iloilo International Airport,"Cabatuan / Santa Barbara, Iloilo",Philippines,YES
NOG Nogales International Airport,NOG,Nogales International Airport,"Nogales, Sonora",Mexico,YES
OXB Osvaldo Vieiro International Airport,OXB,Osvaldo Vieiro International Airport,Bissau,Guinea-Bissau,YES
AQP Rodriguez Ballon International Airport,AQP,Rodriguez Ballon International Airport,Arequipa,Peru,YES
BDE Baudette International Airport,BDE,Baudette International Airport,"Baudette, Minnesota",United States,YES
CLJ Cluj-Napoca International Airport,CLJ,Cluj-Napoca International Airport,Cluj-Napoca,Romania,YES
ESG Dr. Luis Maria Argaña International Airport,ESG,Dr. Luis Maria Argaña International Airport,Mariscal Estigarribia,Paraguay,YES
FUN Funafuti International Airport,FUN,Funafuti International Airport,Funafuti,Tuvalu,YES
HLZ Hamilton International Airport,HLZ,Hamilton International Airport,Hamilton,New Zealand,YES
SLA Martín Miguel de Güemes International Airport,SLA,Martín Miguel de Güemes International Airport,"Salta, Salta Province",Argentina,YES
TYN Taiyuan Wusu International Airport,TYN,Taiyuan Wusu International Airport,"Taiyuan, Shanxi",China,YES
CXR Cam Ranh International Airport,CXR,Cam Ranh International Airport,"Cam Ranh, Khánh Hòa",Vietnam,YES
GRR Gerald R. Ford International Airport,GRR,Gerald R. Ford International Airport,"Grand Rapids, Michigan",United States,YES
RNO Reno-Tahoe International Airport,RNO,Reno-Tahoe International Airport,"Reno, Nevada",United States,YES
SLC Salt Lake City International Airport,SLC,Salt Lake City International Airport,"Salt Lake City, Utah",United States,YES
WAW Frederic Chopin International Airport,WAW,Frederic Chopin International Airport,Warsaw,Poland,YES
CLM William R. Fairchild International Airport,CLM,William R. Fairchild International Airport,"Port Angeles, Washington",United States,YES
NOU La Tontouta International Airport,NOU,La Tontouta International Airport,Noumea,New Caledonia,YES
FWA Fort Wayne International Airport,FWA,Fort Wayne International Airport,"Fort Wayne, Indiana",United States,YES
KTM Tribhuvan International Airport,KTM,Tribhuvan International Airport,Kathmandu,Nepal,YES
PSZ Puerto Suárez International Airport,PSZ,Puerto Suárez International Airport,Puerto Suárez,Bolivia,YES
BZY B?l?i International Airport,BZY,B?l?i International Airport,B?l?i,Moldova,YES
CLO Alfonso Bonilla Aragón International Airport,CLO,Alfonso Bonilla Aragón International Airport,Cali,Colombia,YES
GRU Guarulhos International Airport,GRU,Guarulhos International Airport,"Guarulhos, São Paulo",Brazil,YES
KTN Ketchikan International Airport,KTN,Ketchikan International Airport,"Ketchikan, Alaska",United States,YES
TBJ Tabarka - 7 Novembre International Airport,TBJ,Tabarka - 7 Novembre International Airport,Tabarka,Tunisia,YES
CYB Gerrard Smith International Airport,CYB,Gerrard Smith International Airport,Cayman Brac,Cayman Islands,YES
YQM Greater Moncton International Airport,YQM,Greater Moncton International Airport,"Moncton, New Brunswick",Canada,YES
BDL Bradley International Airport,BDL,Bradley International Airport,"Windsor Locks, Connecticut",United States,YES
BNX Banja Luka International Airport,BNX,Banja Luka International Airport,Banja Luka,Bosnia and Herzegovina,YES
DSM Des Moines International Airport,DSM,Des Moines International Airport,"Des Moines, Iowa",United States,YES
HMO General Ignacio Pesqueira Garcia International Airport,HMO,General Ignacio Pesqueira Garcia International Airport,"Hermosillo, Sonora",Mexico,YES
TZL Tuzla International Airport,TZL,Tuzla International Airport,Tuzla,Bosnia and Herzegovina,YES
ADZ Gustavo Rojas Pinilla International Airport,ADZ,Gustavo Rojas Pinilla International Airport,San Andres Island,Colombia,YES
MIR Monastir Habib Bourguiba International Airport,MIR,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,YES
OZH Zaporizhia International Airport,OZH,Zaporizhia International Airport,Zaporizhia,Ukraine,YES
ROB Roberts International Airport,ROB,Roberts International Airport,Monrovia,Liberia,YES
KHH Kaohsiung International Airport,KHH,Kaohsiung International Airport,Kaohsiung,Taiwan,YES
MTY GENERAL Mariano Escobedo International Airport,MTY,GENERAL Mariano Escobedo International Airport,"Monterrey, Nuevo León",Mexico,YES
PTG Polokwane International Airport,PTG,Polokwane International Airport,Polokwane,South Africa,YES
ROC Greater Rochester International Airport,ROC,Greater Rochester International Airport,"Rochester, New York",United States,YES
TBS Tbilisi International Airport,TBS,Tbilisi International Airport,Tbilisi,Georgia,YES
YQR Regina International Airport,YQR,Regina International Airport,"Regina, Saskatchewan",Canada,YES
ARI Chacalluta International Airport,ARI,Chacalluta International Airport,Arica,Chile,YES
CLT Charlotte Douglas International Airport,CLT,Charlotte Douglas International Airport,"Charlotte, North Carolina",United States,YES
KHI Jinnah International Airport (Quaid-e-Azam Int'l),KHI,Jinnah International Airport (Quaid-e-Azam Int'l),Karachi,Pakistan,YES
TBT Tabatinga International Airport,TBT,Tabatinga International Airport,"Tabatinga, Amazonas",Brazil,YES
LWO Lviv Danylo Halytskyi International Airport,LWO,Lviv Danylo Halytskyi International Airport,Lviv,Ukraine,YES
MIU Maiduguri International Airport,MIU,Maiduguri International Airport,Maiduguri,Nigeria,YES
TBU Fua?amotu International Airport,TBU,Fua?amotu International Airport,"Nuku?alofa, Tongatapu",Tonga,YES
"BOC Bocas del Toro ""Isla Colón"" International Airport",BOC,"Bocas del Toro ""Isla Colón"" International Airport","Bocas Town, Bocas del Toro",Panama,YES
PAC Albrook Marcos A.Gelabert International Airport,PAC,Albrook Marcos A.Gelabert International Airport,Panama City,Panama,YES
PTK Oakland County International Airport,PTK,Oakland County International Airport,"Pontiac, Michigan",United States,YES
ROP Rota International Airport,ROP,Rota International Airport,Rota Island,Northern Mariana Islands,YES
TBZ Tabriz International Airport,TBZ,Tabriz International Airport,Tabriz,Iran,YES
LIL Lille Lesquin International Airport,LIL,Lille Lesquin International Airport,Lille,France,YES
NQN Presidente Perón International Airport,NQN,Presidente Perón International Airport,Neuquen,Argentina,YES
SLP Ponciano Arriaga International Airport,SLP,Ponciano Arriaga International Airport,"San Luis Potosí, San Luis Potosí",Mexico,YES
"ZTH Zakynthos International Airport, Dionysios Solomos",ZTH,"Zakynthos International Airport, Dionysios Solomos",Zakynthos,Greece,YES
CAI Cairo International Airport,CAI,Cairo International Airport,Cairo,Egypt,YES
CYR Laguna de los Patos International Airport,CYR,Laguna de los Patos International Airport,"Colonia del Sacramento, Colonia",Uruguay,YES
KHN Nanchang Changbei International Airport,KHN,Nanchang Changbei International Airport,"Nanchang, Jiangxi",China,YES
LIM Jorge Chávez International Airport,LIM,Jorge Chávez International Airport,Callao,Peru,YES
LWV Lawrenceville-Vincennes International Airport,LWV,Lawrenceville-Vincennes International Airport,"Lawrenceville, Illinois",United States,YES
ROS Rosario - Islas Malvinas International Airport,ROS,Rosario - Islas Malvinas International Airport,Rosario,Argentina,YES
WDH Windhoek Hosea Kutako International Airport,WDH,Windhoek Hosea Kutako International Airport,Windhoek,Namibia,YES
YQX Gander International Airport / CFB Gander,YQX,Gander International Airport / CFB Gander,"Gander, Newfoundland",Canada,YES
BOG El Dorado International Airport,BOG,El Dorado International Airport,Bogotá,Colombia,YES
LIO Puerto Limón International Airport,LIO,Puerto Limón International Airport,Puerto Limón,Costa Rica,YES
NQY Newquay Cornwall International Airport,NQY,Newquay Cornwall International Airport,"Newquay, England",United Kingdom,YES
AER Adler-Sochi International Airport,AER,Adler-Sochi International Airport,"Sochi, Krasnodar",Russia,YES
CMB Bandaranaike International Airport,CMB,Bandaranaike International Airport,Colombo,Sri Lanka,YES
ZTU Zaqatala International Airport,ZTU,Zaqatala International Airport,Zaqatala,Azerbaijan,YES
GSO Piedmont Triad International Airport,GSO,Piedmont Triad International Airport,"Greensboro, North Carolina",United States,YES
HNL Honolulu International Airport,HNL,Honolulu International Airport,"Honolulu, Hawaii",United States,YES
ROW Roswell International Air Center,ROW,Roswell International Air Center,"Roswell, New Mexico",United States,YES
CAN Guangzhou Baiyun International Airport,CAN,Guangzhou Baiyun International Airport,"Guangzhou, Guangdong",China,YES
GSP Greenville-Spartanburg International Airport,GSP,Greenville-Spartanburg International Airport,"Greenville / Spartanburg, South Carolina",United States,YES
LIR Daniel Oduber Quirós International Airport,LIR,Daniel Oduber Quirós International Airport,Liberia,Costa Rica,YES
TCP Taba International Airport,TCP,Taba International Airport,Taba,Egypt,YES
AEX Alexandria International Airport,AEX,Alexandria International Airport,"Alexandria, Louisiana",United States,YES
ART Watertown International Airport,ART,Watertown International Airport,"Watertown, New York",United States,YES
CME Ciudad del Carmen International Airport,CME,Ciudad del Carmen International Airport,"Ciudad del Carmen, Campeche",Mexico,YES
GAE Gabès - Matmata International Airport,GAE,Gabès - Matmata International Airport,Gabès,Tunisia,YES
LXR Luxor International Airport,LXR,Luxor International Airport,Luxor,Egypt,YES
PTY Tocumen International Airport,PTY,Tocumen International Airport,Panama City,Panama,YES
SLW Plan de Guadalupe International Airport,SLW,Plan de Guadalupe International Airport,Saltillo,Mexico,YES
BOM Chhatrapati Shivaji International Airport,BOM,Chhatrapati Shivaji International Airport,Mumbai,India,YES
CAP Cap-Haïtien International Airport,CAP,Cap-Haïtien International Airport,Cap-Haïtien,Haiti,YES
CZA Kaua International Airport,CZA,Kaua International Airport,"Chichén Itzá, Yucatán",Mexico,YES
GAF Gafsa - Ksar International Airport,GAF,Gafsa - Ksar International Airport,Gafsa,Tunisia,YES
MJI Mitiga International Airport,MJI,Mitiga International Airport,Tripoli,Libya,YES
PAP PORT -au-Prince International Airport,PAP,PORT -au-Prince International Airport,PORT -au-Prince,Haiti,YES
BON Flamingo International Airport,BON,Flamingo International Airport,"near Kralendijk, Bonaire",Caribbean Netherlands,YES
CMG Corumbá International Airport,CMG,Corumbá International Airport,"Corumbá, Mato Grosso do Sul",Brazil,YES
SLZ Marechal Cunha Machado International Airport,SLZ,Marechal Cunha Machado International Airport,São Luís,Brazil,YES
ARW Arad International Airport,ARW,Arad International Airport,Arad,Romania,YES
CMH Port Columbus International Airport,CMH,Port Columbus International Airport,"Columbus, Ohio",United States,YES
IND Indianapolis International Airport,IND,Indianapolis International Airport,"Indianapolis, Indiana",United States,YES
DUG Bisbee-Douglas International Airport,DUG,Bisbee-Douglas International Airport,"Bisbee/Douglas, Arizona",United States,YES
KUL Kuala Lumpur International Airport,KUL,Kuala Lumpur International Airport,Sepang,Malaysia,YES
NRT Narita International Airport (formerly New Tokyo International),NRT,Narita International Airport (formerly New Tokyo International),Narita,Japan,YES
HOD Hodeida International Airport,HOD,Hodeida International Airport,Al Hudaydah (Hodeida),Yemen,YES
SMF Sacramento International Airport,SMF,Sacramento International Airport,"Sacramento, California",United States,YES
ASA Assab International Airport,ASA,Assab International Airport,Assab,Eritrea,YES
BOS Logan International Airport,BOS,Logan International Airport,"Boston, Massachusetts",United States,YES
JNB OR Tambo International Airport,JNB,OR Tambo International Airport,"Johannesburg, Gauteng",South Africa,YES
KUN Kaunas International Airport,KUN,Kaunas International Airport,Kaunas,Lithuania,YES
LIZ Loring International Airport (was Loring AFB),LIZ,Loring International Airport (was Loring AFB),"Limestone, Maine",United States,YES
NSI Yaoundé Nsimalen International Airport,NSI,Yaoundé Nsimalen International Airport,Yaoundé,Cameroon,YES
PBC Hermanos Serdán International Airport,PBC,Hermanos Serdán International Airport,Puebla,Mexico,YES
PUJ Punta Cana International Airport,PUJ,Punta Cana International Airport,Punta Cana,Dominican Republic,YES
"SMI Samos International Airport Aristarchos of Samos,Samos Island,Greece
TDL,Tandil Airport,Tandil,Argentina
UEL,Quelimane Airport,Quelimane,Mozambique
WHF,Wadi Halfa Airport,Wadi Halfa,Sudan
YCU,Yuncheng Guangong Airport,Yuncheng,China
YRO,Rockcliffe Airport,Ottawa",SMI,"Samos International Airport Aristarchos of Samos,Samos Island,Greece
TDL,Tandil Airport,Tandil,Argentina
UEL,Quelimane Airport,Quelimane,Mozambique
WHF,Wadi Halfa Airport,Wadi Halfa,Sudan
YCU,Yuncheng Guangong Airport,Yuncheng,China
YRO,Rockcliffe Airport,Ottawa"," Ontario""",Canada,YES
CMN Mohammed V International Airport,CMN,Mohammed V International Airport,Casablanca,Morocco,YES
CZL Mohamed Boudiaf International Airport,CZL,Mohamed Boudiaf International Airport,Constantine,Algeria,YES
PBG Plattsburgh International Airport,PBG,Plattsburgh International Airport,"Plattsburgh, New York",United States,YES
RRT Warroad International Airport (Swede Carlson Field),RRT,Warroad International Airport (Swede Carlson Field),"Warroad, Minnesota",United States,YES
ASD Andros Town International Airport,ASD,Andros Town International Airport,Andros Island,Bahamas,YES
CZM Cozumel International Airport,CZM,Cozumel International Airport,"Cozumel, Quintana Roo",Mexico,YES
DUR King Shaka International Airport,DUR,King Shaka International Airport,"Durban, KwaZulu-Natal",South Africa,YES
GTF Great Falls International Airport,GTF,Great Falls International Airport,"Great Falls, Montana",United States,YES
MJT Mytilene International Airport,MJT,Mytilene International Airport,"Mytilene, Lesbos Island",Greece,YES
